Task MBPP/251 gened 110 testcases, 55 of them is correct, pass rate is 0.5
Task MBPP/325 gened 110 testcases, 3 of them is correct, pass rate is 0.02727272727272727
Task MBPP/68 gened 110 testcases, 36 of them is correct, pass rate is 0.32727272727272727
Task MBPP/449 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/468 gened 110 testcases, 17 of them is correct, pass rate is 0.15454545454545454
Task MBPP/321 gened 110 testcases, 1 of them is correct, pass rate is 0.00909090909090909
Task MBPP/410 gened 110 testcases, 25 of them is correct, pass rate is 0.22727272727272727
Task MBPP/129 gened 79 testcases, 25 of them is correct, pass rate is 0.31645569620253167
Task MBPP/131 gened 110 testcases, 17 of them is correct, pass rate is 0.15454545454545454
Task MBPP/248 gened 69 testcases, 8 of them is correct, pass rate is 0.11594202898550725
Task MBPP/198 gened 110 testcases, 1 of them is correct, pass rate is 0.00909090909090909
Task MBPP/80 gened 107 testcases, 11 of them is correct, pass rate is 0.102803738317757
Task MBPP/114 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/199 gened 110 testcases, 39 of them is correct, pass rate is 0.35454545454545455
Task MBPP/263 gened 110 testcases, 83 of them is correct, pass rate is 0.7545454545454545
Task MBPP/315 gened 110 testcases, 3 of them is correct, pass rate is 0.02727272727272727
Task MBPP/459 gened 110 testcases, 12 of them is correct, pass rate is 0.10909090909090909
Task MBPP/83 gened 110 testcases, 4 of them is correct, pass rate is 0.03636363636363636
Task MBPP/145 gened 110 testcases, 20 of them is correct, pass rate is 0.18181818181818182
Task MBPP/209 gened 110 testcases, 18 of them is correct, pass rate is 0.16363636363636364
Task MBPP/330 gened 110 testcases, 8 of them is correct, pass rate is 0.07272727272727272
Task MBPP/183 gened 110 testcases, 15 of them is correct, pass rate is 0.13636363636363635
Task MBPP/182 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/373 gened 110 testcases, 37 of them is correct, pass rate is 0.33636363636363636
Task MBPP/375 gened 110 testcases, 43 of them is correct, pass rate is 0.39090909090909093
Task MBPP/469 gened 110 testcases, 18 of them is correct, pass rate is 0.16363636363636364
Task MBPP/97 gened 110 testcases, 14 of them is correct, pass rate is 0.12727272727272726
Task MBPP/361 gened 110 testcases, 66 of them is correct, pass rate is 0.6
Task MBPP/78 gened 110 testcases, 8 of them is correct, pass rate is 0.07272727272727272
Task MBPP/421 gened 110 testcases, 11 of them is correct, pass rate is 0.1
Task MBPP/476 gened 110 testcases, 4 of them is correct, pass rate is 0.03636363636363636
Task MBPP/308 gened 110 testcases, 8 of them is correct, pass rate is 0.07272727272727272
Task MBPP/362 gened 110 testcases, 38 of them is correct, pass rate is 0.34545454545454546
Task MBPP/44 gened 110 testcases, 1 of them is correct, pass rate is 0.00909090909090909
Task MBPP/61 gened 110 testcases, 8 of them is correct, pass rate is 0.07272727272727272
Task MBPP/99 gened 110 testcases, 24 of them is correct, pass rate is 0.21818181818181817
Task MBPP/13 gened 110 testcases, 2 of them is correct, pass rate is 0.01818181818181818
Task MBPP/88 gened 110 testcases, 62 of them is correct, pass rate is 0.5636363636363636
Task MBPP/235 gened 110 testcases, 7 of them is correct, pass rate is 0.06363636363636363
Task MBPP/483 gened 110 testcases, 7 of them is correct, pass rate is 0.06363636363636363
Task MBPP/416 gened 110 testcases, 3 of them is correct, pass rate is 0.02727272727272727
Task MBPP/190 gened 110 testcases, 3 of them is correct, pass rate is 0.02727272727272727
Task MBPP/438 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/52 gened 110 testcases, 56 of them is correct, pass rate is 0.509090909090909
Task MBPP/111 gened 110 testcases, 26 of them is correct, pass rate is 0.23636363636363636
Task MBPP/156 gened 110 testcases, 8 of them is correct, pass rate is 0.07272727272727272
Task MBPP/133 gened 110 testcases, 51 of them is correct, pass rate is 0.4636363636363636
Task MBPP/366 gened 110 testcases, 17 of them is correct, pass rate is 0.15454545454545454
Task MBPP/247 gened 110 testcases, 4 of them is correct, pass rate is 0.03636363636363636
Task MBPP/319 gened 110 testcases, 15 of them is correct, pass rate is 0.13636363636363635
Task MBPP/428 gened 110 testcases, 65 of them is correct, pass rate is 0.5909090909090909
Task MBPP/257 gened 110 testcases, 56 of them is correct, pass rate is 0.509090909090909
Task MBPP/279 gened 110 testcases, 1 of them is correct, pass rate is 0.00909090909090909
Task MBPP/234 gened 110 testcases, 25 of them is correct, pass rate is 0.22727272727272727
Task MBPP/350 gened 110 testcases, 1 of them is correct, pass rate is 0.00909090909090909
Task MBPP/443 gened 110 testcases, 21 of them is correct, pass rate is 0.19090909090909092
Task MBPP/446 gened 110 testcases, 1 of them is correct, pass rate is 0.00909090909090909
Task MBPP/47 gened 110 testcases, 19 of them is correct, pass rate is 0.17272727272727273
Task MBPP/165 gened 110 testcases, 5 of them is correct, pass rate is 0.045454545454545456
Task MBPP/365 gened 110 testcases, 48 of them is correct, pass rate is 0.43636363636363634
Task MBPP/153 gened 110 testcases, 1 of them is correct, pass rate is 0.00909090909090909
Task MBPP/413 gened 110 testcases, 4 of them is correct, pass rate is 0.03636363636363636
Task MBPP/300 gened 31 testcases, 1 of them is correct, pass rate is 0.03225806451612903
Task MBPP/349 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/139 gened 110 testcases, 1 of them is correct, pass rate is 0.00909090909090909
Task MBPP/489 gened 110 testcases, 16 of them is correct, pass rate is 0.14545454545454545
Task MBPP/62 gened 110 testcases, 82 of them is correct, pass rate is 0.7454545454545455
Task MBPP/264 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/486 gened 110 testcases, 61 of them is correct, pass rate is 0.5545454545454546
Task MBPP/379 gened 110 testcases, 8 of them is correct, pass rate is 0.07272727272727272
Task MBPP/461 gened 110 testcases, 25 of them is correct, pass rate is 0.22727272727272727
Task MBPP/101 gened 110 testcases, 29 of them is correct, pass rate is 0.2636363636363636
Task MBPP/274 gened 99 testcases, 6 of them is correct, pass rate is 0.06060606060606061
Task MBPP/125 gened 110 testcases, 23 of them is correct, pass rate is 0.20909090909090908
Task MBPP/429 gened 110 testcases, 7 of them is correct, pass rate is 0.06363636363636363
Task MBPP/491 gened 110 testcases, 5 of them is correct, pass rate is 0.045454545454545456
Task MBPP/34 gened 110 testcases, 10 of them is correct, pass rate is 0.09090909090909091
Task MBPP/507 gened 110 testcases, 56 of them is correct, pass rate is 0.509090909090909
Task MBPP/484 gened 110 testcases, 11 of them is correct, pass rate is 0.1
Task MBPP/204 gened 110 testcases, 71 of them is correct, pass rate is 0.6454545454545455
Task MBPP/335 gened 110 testcases, 8 of them is correct, pass rate is 0.07272727272727272
Task MBPP/48 gened 110 testcases, 20 of them is correct, pass rate is 0.18181818181818182
Task MBPP/71 gened 110 testcases, 71 of them is correct, pass rate is 0.6454545454545455
Task MBPP/503 gened 110 testcases, 8 of them is correct, pass rate is 0.07272727272727272
Task MBPP/39 gened 110 testcases, 3 of them is correct, pass rate is 0.02727272727272727
Task MBPP/481 gened 110 testcases, 29 of them is correct, pass rate is 0.2636363636363636
Task MBPP/75 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/118 gened 110 testcases, 9 of them is correct, pass rate is 0.08181818181818182
Task MBPP/423 gened 110 testcases, 5 of them is correct, pass rate is 0.045454545454545456
Task MBPP/55 gened 110 testcases, 9 of them is correct, pass rate is 0.08181818181818182
Task MBPP/430 gened 110 testcases, 2 of them is correct, pass rate is 0.01818181818181818
Task MBPP/388 gened 110 testcases, 52 of them is correct, pass rate is 0.4727272727272727
Task MBPP/473 gened 110 testcases, 7 of them is correct, pass rate is 0.06363636363636363
Task MBPP/260 gened 110 testcases, 5 of them is correct, pass rate is 0.045454545454545456
Task MBPP/309 gened 110 testcases, 93 of them is correct, pass rate is 0.8454545454545455
Task MBPP/95 gened 110 testcases, 16 of them is correct, pass rate is 0.14545454545454545
Task MBPP/93 gened 110 testcases, 55 of them is correct, pass rate is 0.5
Task MBPP/334 gened 110 testcases, 39 of them is correct, pass rate is 0.35454545454545455
Task MBPP/337 gened 110 testcases, 2 of them is correct, pass rate is 0.01818181818181818
Task MBPP/64 gened 110 testcases, 9 of them is correct, pass rate is 0.08181818181818182
Task MBPP/409 gened 110 testcases, 3 of them is correct, pass rate is 0.02727272727272727
Task MBPP/298 gened 110 testcases, 8 of them is correct, pass rate is 0.07272727272727272
Task MBPP/320 gened 91 testcases, 3 of them is correct, pass rate is 0.03296703296703297
Task MBPP/26 gened 110 testcases, 32 of them is correct, pass rate is 0.2909090909090909
Task MBPP/323 gened 110 testcases, 1 of them is correct, pass rate is 0.00909090909090909
Task MBPP/66 gened 110 testcases, 63 of them is correct, pass rate is 0.5727272727272728
Task MBPP/297 gened 110 testcases, 71 of them is correct, pass rate is 0.6454545454545455
Task MBPP/103 gened 110 testcases, 9 of them is correct, pass rate is 0.08181818181818182
Task MBPP/420 gened 47 testcases, 2 of them is correct, pass rate is 0.0425531914893617
Task MBPP/172 gened 110 testcases, 20 of them is correct, pass rate is 0.18181818181818182
Task MBPP/11 gened 110 testcases, 28 of them is correct, pass rate is 0.2545454545454545
Task MBPP/73 gened 110 testcases, 3 of them is correct, pass rate is 0.02727272727272727
Task MBPP/154 gened 110 testcases, 1 of them is correct, pass rate is 0.00909090909090909
mean pass rate is 0.19541213314667139, max pass rate is 0.8454545454545455, min pass rate is 0.0, all true is 0
------------------------no filter------------------------
Task MBPP/251 gened 10 testcases, 6 of them is correct, pass rate is 0.6
Task MBPP/104 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/383 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/307 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/166 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/113 gened 10 testcases, 6 of them is correct, pass rate is 0.6
Task MBPP/465 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/381 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/220 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/398 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/377 gened 10 testcases, 4 of them is correct, pass rate is 0.4
Task MBPP/399 gened 10 testcases, 4 of them is correct, pass rate is 0.4
Task MBPP/146 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/283 gened 10 testcases, 4 of them is correct, pass rate is 0.4
Task MBPP/136 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/336 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/427 gened 10 testcases, 8 of them is correct, pass rate is 0.8
Task MBPP/387 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/266 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/192 gened 10 testcases, 10 of them is correct, pass rate is 1.0
Task MBPP/223 gened 10 testcases, 4 of them is correct, pass rate is 0.4
Task MBPP/280 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/508 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/326 gened 10 testcases, 5 of them is correct, pass rate is 0.5
Task MBPP/122 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/169 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/289 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/371 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/180 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/276 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/49 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/385 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/407 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/454 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/116 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/363 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/396 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/488 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/250 gened 10 testcases, 7 of them is correct, pass rate is 0.7
Task MBPP/374 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/436 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/457 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/345 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/86 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/497 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/119 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/455 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/221 gened 10 testcases, 5 of them is correct, pass rate is 0.5
Task MBPP/40 gened 10 testcases, 4 of them is correct, pass rate is 0.4
Task MBPP/405 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/189 gened 10 testcases, 4 of them is correct, pass rate is 0.4
Task MBPP/332 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/224 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/249 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/74 gened 10 testcases, 5 of them is correct, pass rate is 0.5
Task MBPP/382 gened 10 testcases, 4 of them is correct, pass rate is 0.4
Task MBPP/391 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/82 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/401 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/178 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/210 gened 10 testcases, 5 of them is correct, pass rate is 0.5
Task MBPP/482 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/187 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/417 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/505 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/177 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/229 gened 10 testcases, 4 of them is correct, pass rate is 0.4
Task MBPP/490 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/173 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/301 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/120 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/219 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/128 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/115 gened 10 testcases, 6 of them is correct, pass rate is 0.6
Task MBPP/31 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/394 gened 10 testcases, 6 of them is correct, pass rate is 0.6
Task MBPP/126 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/452 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/20 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/143 gened 10 testcases, 4 of them is correct, pass rate is 0.4
Task MBPP/269 gened 10 testcases, 8 of them is correct, pass rate is 0.8
Task MBPP/174 gened 10 testcases, 7 of them is correct, pass rate is 0.7
Task MBPP/406 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/302 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/422 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/372 gened 10 testcases, 4 of them is correct, pass rate is 0.4
Task MBPP/226 gened 10 testcases, 4 of them is correct, pass rate is 0.4
Task MBPP/325 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/68 gened 10 testcases, 5 of them is correct, pass rate is 0.5
Task MBPP/449 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/468 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/321 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/410 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/129 gened 10 testcases, 4 of them is correct, pass rate is 0.4
Task MBPP/131 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/248 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/198 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/80 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/114 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/199 gened 10 testcases, 5 of them is correct, pass rate is 0.5
Task MBPP/263 gened 10 testcases, 7 of them is correct, pass rate is 0.7
Task MBPP/315 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/459 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/83 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/145 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/209 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/330 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/183 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/182 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/373 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/375 gened 10 testcases, 5 of them is correct, pass rate is 0.5
Task MBPP/469 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/97 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/361 gened 10 testcases, 7 of them is correct, pass rate is 0.7
Task MBPP/78 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/421 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/476 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/308 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/362 gened 10 testcases, 6 of them is correct, pass rate is 0.6
Task MBPP/44 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/61 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/99 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/13 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/88 gened 10 testcases, 7 of them is correct, pass rate is 0.7
Task MBPP/235 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/483 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/416 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/190 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/438 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/52 gened 10 testcases, 4 of them is correct, pass rate is 0.4
Task MBPP/111 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/156 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/133 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/366 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/247 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/319 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/428 gened 10 testcases, 8 of them is correct, pass rate is 0.8
Task MBPP/257 gened 10 testcases, 8 of them is correct, pass rate is 0.8
Task MBPP/279 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/234 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/350 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/443 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/446 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/47 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/165 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/365 gened 10 testcases, 7 of them is correct, pass rate is 0.7
Task MBPP/153 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/413 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/300 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/349 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/139 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/489 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/62 gened 10 testcases, 9 of them is correct, pass rate is 0.9
